ID,main_use,size_ratio,curve_shape,A1,A2,A3,A4,S_A4-A1,S_A2-A3,S_median,I99,I80,I50,I30,I10,I_mean,S_cap,S_dead,S_flood_cap
41,Hydroelectricity,0.323419644,four-piece,4,7,10,4,364.5019333,1227.904911,,35.9549136,11.7729408,5.0202656,3.3300048,2.0796096,7.90749291,1297.967,129.7967,1284.98733
42,Hydroelectricity,0.001264938,single,,,,,,,106.65058,17.9211712,12.4754384,8.4526176,6.9312336,5.0002656,9.184316395,110.891,87.524,109.78209
55,Irrigation,0.51105602,four-piece,6,9,9,6,177.0952333,39.03663333,,4.36223712,1.2741408,0.5348016,0.3251232,0.14966368,0.846414818,196.923,19.6923,194.95377
56,Flood control,0.1040815,four-piece,2,5,7,12,2.565582576,38.113125,,14.64212032,3.45233824,1.702728,0.835064,0.37837376,2.433114812,94.999,9.4999,94.04901
57,Irrigation,0.592501074,four-piece,0,6,7,10,135.2748587,282.6221148,,3.613563712,1.16546816,0.4892144,0.274368,0.09704224,0.751012528,297.691,29.7691,294.71409
60,Irrigation,0.110335598,four-piece,3,6,6,10,16.50988462,41.7436,,3.504777152,1.07115104,0.4030784,0.25074976,0.13464512,0.698221371,44.629,4.4629,44.18271
63,Irrigation,0.384050061,four-piece,7,10,10,6,241.443459,69.79041935,,4.967258464,1.80959648,0.8898272,0.64617792,0.43052384,1.254392552,245.629,24.5629,243.17271
80,Hydroelectricity,0.170129688,four-piece,1,5,8,12,208.0055403,528.3334959,,32.42590746,7.73850784,3.9180432,2.31862624,1.53472192,5.691056679,561.405,146.177,555.79095
85,Hydroelectricity,0.012779215,four-piece,4,6,9,11,42.22224586,68.73740574,,32.7727328,10.20206144,3.8702912,2.5483824,1.78480896,6.838963608,74.122,24.868,73.38078
87,Irrigation,0.539346235,four-piece,1,5,5,10,20.08625203,43.35670968,,1.137361312,0.22211456,0.0341968,0.00378304,-0.015008,0.188512083,57.197,5.7197,56.62503
88,Flood control,0.221617802,four-piece,1,5,7,12,6.800076613,100.5913913,,9.426425408,1.59126048,0.528896,0.14594496,0.0099616,1.23136742,106.406,10.6406,105.34194
89,Hydroelectricity,0.245399653,four-piece,1,5,6,12,76.73760484,227.0455082,,12.08711488,2.95680064,1.4164192,0.7874192,0.51466976,2.116138739,266.282,26.6282,263.61918
90,Flood control,0.189585345,four-piece,1,5,8,12,7.29981778,113.9239878,,10.9179833,1.81008832,0.3609344,0.0137504,-0.1618,1.733706952,127.27,12.727,125.9973
92,Flood control,0.258862232,four-piece,1,5,8,11,12.11872554,138.4444645,,10.25472269,2.1301536,0.6776976,0.23791286,0.0456256,1.478718277,151.835,15.1835,150.31665
97,Flood control,0.128430905,four-piece,1,6,8,11,10.41471196,85.22425,,14.11188819,2.63053472,0.7315168,0.22263456,0.04201472,1.829143833,96.16,9.616,95.1984
99,Flood control,0.155309989,four-piece,1,5,8,11,4.48923913,36.41416463,,4.9044832,0.90991456,0.2731792,0.08791072,0.0177104,0.62878685,40.134,4.0134,39.73266
100,Flood control,0.228720714,four-piece,1,5,7,12,202.0324274,421.073837,,15.31593421,3.9439104,1.8852752,1.09654144,0.72651136,2.792082255,435.124,133.4,430.77276
131,Irrigation,0.735419003,four-piece,0,4,5,10,1798.447065,2493.985607,,26.95198339,7.25809632,1.802,0.51506112,-0.06692288,4.773273427,3079.727,579.953,3048.92973
132,Irrigation,0.379440745,four-piece,5,10,11,5,5113.189226,3030.580443,,105.7990436,24.23933904,11.2602256,8.49775424,6.1436928,18.52224563,5595.835,1290.253,5539.87665
148,Flood control,0.4744388,four-piece,0,5,5,10,1991.757429,3707.774613,,89.75875563,18.75184192,7.3096536,4.3841,1.50513216,13.98674311,4413.844,1107.938,4369.70556
165,Water supply,0.235010877,four-piece,3,6,8,11,4.442476821,11.23242391,,0.698997408,0.15286528,0.025912,0.00131648,-0.01567008,0.132276281,15.789,3.096,15.63111
182,Irrigation,0.200731631,four-piece,1,6,6,10,524.0672641,1016.368967,,57.21343635,13.16578336,4.9084704,3.2648976,1.88449344,9.185695051,1197.076,167.212,1185.10524
192,Hydroelectricity,0.190253682,four-piece,2,6,7,1,35.45141525,111.638377,,8.729272832,1.20079712,0.2842752,0.004264,-0.4751312,1.226661908,120.634,16.282,119.42766
198,Irrigation,0.882735985,four-piece,0,4,7,10,1771.407576,1964.183246,,19.75744054,4.91045696,2.0639296,1.477936,0.82812576,3.567117612,2920.728,292.0728,2891.52072
204,Hydroelectricity,0.018042966,four-piece,3,6,8,11,68.47317881,80.40282609,,12.33520672,3.13283808,1.072448,0.502711052,-0.0091088,2.108486193,82.359,40.618,81.53541
210,Irrigation,0.354062353,four-piece,6,10,11,6,2149.667833,1735.991672,,28.85081448,6.31622432,0.8440416,-0.96743376,-4.3027616,6.076178635,2521.233,773.639,2496.02067
292,Irrigation,0.294456841,four-piece,4,7,7,9,32.84121074,77.51601613,,2.771543232,0.72487712,0.2245808,0.126,0.06582624,0.478715542,84.292,8.4292,83.44908
293,Irrigation,0.236648762,four-piece,2,5,6,9,61.63241989,107.1653934,,4.53678064,1.43446944,0.5580448,0.12464224,-0.00375424,0.958099651,144.39,14.439,142.9461
300,Irrigation,0.989414424,four-piece,4,7,7,1,925.8164333,1125.310903,,13.52241498,2.66989152,0.7821216,0.50672672,0.23912096,1.889775781,1608.283,790.907,1592.20017
307,Flood control,1.018810866,four-piece,4,7,11,2,15813.28982,17537.22765,,92.39515952,25.5163504,15.8512128,12.171624,8.2872592,20.55857184,23458.323,10398.236,23223.73977
319,Irrigation,0.153079807,four-piece,2,6,6,9,23.71690055,117.1357,,13.39774051,2.4068192,0.6380384,0.44402912,0.31963744,1.762695909,122.206,12.2206,120.98394
320,Irrigation,0.789275338,four-piece,6,9,9,1,35.36201934,24.75073333,,0.402,0.11,0.016,0,-0.017,0.068366047,44.446,4.4446,44.00154
355,Irrigation,0.188150869,four-piece,4,7,10,4,990.9825,1242.92661,,38.55378106,9.6658464,5.5854192,4.48668704,3.12231232,7.936643126,1536.032,749.222,1520.67168
361,Irrigation,0.161872683,four-piece,6,9,10,2,16.87678667,1.757606557,,2.583475328,0.45389312,0.1776784,0.10047424,0.0201344,0.358126769,22.917,2.2917,22.68783
362,Irrigation,0.832673718,four-piece,5,9,9,4,162.7940984,76.76676667,,2.808008192,0.86163488,0.5408688,0.43156256,0.3089312,0.672668004,281.208,28.1208,278.39592
364,Hydroelectricity,0.133781929,four-piece,4,6,7,3,352.269918,462.2113607,,9.360859872,2.94278304,2.0607664,1.8432576,1.62138736,2.585665312,478.529,276.462,473.74371
367,Irrigation,0.872730791,four-piece,0,6,6,9,22.39777869,63.5137,,1.595829536,0.38510848,0.0786752,0.0396576,0.00349056,0.255972551,103.937,10.3937,102.89763
368,Irrigation,0.514510324,four-piece,0,6,6,9,36.51888934,80.5974,,2.022705888,0.53222848,0.1571392,0.09119648,0.0281664,0.358884185,103.916,10.3916,102.87684
370,Irrigation,0.36145872,four-piece,3,6,6,9,493.5249146,774.403855,,14.86553988,3.454245433,1.081240758,0.697145111,0.207208045,2.476770987,820.2913366,308.1591119,812.0884232
372,Irrigation,0.369213991,four-piece,0,5,5,10,5.630836957,29.84467742,,1.618843648,0.21910112,0.0877952,0.04743712,0.01437728,0.199751725,32.55,3.255,32.2245
373,Hydroelectricity,0.226635924,four-piece,5,7,7,10,538.4244794,758.4611613,,24.6125455,4.13484832,1.04796,0.70383424,0.45576224,3.133400652,797.626,182.063,789.64974
384,Irrigation,0.245127036,four-piece,4,7,7,10,764.1687406,1013.652613,,24.51916707,4.38214304,1.5349776,1.1181024,0.7144416,3.51020964,1078.232,107.8232,1067.44968
385,Irrigation,0.41092045,four-piece,5,7,7,9,0.4258663,3.879596774,,0.634627968,0.056112,0.0144928,0.00280832,-0.00145088,0.063233475,9.91,0.991,9.8109
386,Irrigation,0.694187947,four-piece,0,5,5,10,233.5101739,628.1812903,,16.91521632,1.6349216,0.5539968,-1.50080288,-2.98923712,2.633895777,900.883,90.0883,891.87417
387,Irrigation,0.146647,four-piece,6,9,9,2,274.2570993,65.11519149,,25.85980186,7.967198639,3.081734334,2.093620127,1.617197959,5.470946747,357.9539348,35.79539348,354.3743954
390,Flood control,0.520993744,four-piece,2,6,7,11,48.96013333,94.01788525,,2.69029008,0.28429792,0.1064816,0.0621888,0.00059328,0.287921143,103.712,18.11,102.67488
391,Flood control,0.114016267,four-piece,2,6,8,10,75.14190728,320.784837,,25.61104192,10.82453184,3.6449696,1.0366256,0.42029728,6.10441837,329.183,32.9183,325.89117
393,Flood control,0.3275908,four-piece,5,7,7,3,695.0680652,882.351871,,25.80110093,3.41538528,1.9183392,1.47145824,0.95892,3.338544717,1094.26,290.777,1083.3174
396,Irrigation,0.140644343,four-piece,4,7,7,9,704.6538246,1232.085523,,74.02277183,20.90094118,9.951432256,6.815971066,5.289629234,15.45750485,1498.1677,149.81677,1483.186023
398,Irrigation,0.360421994,four-piece,5,7,7,10,102.0696049,178.2410806,,4.666918784,1.03878752,0.1879744,0.0930976,0.05082048,0.644772315,186.892,27.557,185.02308
399,Irrigation,0.086368226,four-piece,7,9,9,11,34.74415568,22.12281667,,2.535039328,1.25059296,0.1184512,0,-0.02,0.725190061,44.984,4.623,44.53416
405,Hydroelectricity,0.000401105,single,,,,,,,305.9001965,69.84341709,24.76657472,17.9792864,16.366872,13.82465664,21.9244098,309.11,265.938,306.0189
411,Irrigation,0.298521376,four-piece,6,9,9,4,1843.503691,301.3451893,,61.00741632,20.18394698,12.80247873,10.69843129,7.933391822,16.54408099,2103.993252,210.3993252,2082.953319
413,Irrigation,0.012633059,four-piece,2,5,8,11,46.76075833,115.7764065,,54.94888182,28.42586144,14.6105376,4.37216992,1.30824928,16.51466964,122.911,12.2911,121.68189
